"Time","duolingo","duolingo spanish","what is duolingo","duolingo english","language learning app"
"2022-01-01",42,5,1,2,0
"2022-02-01",40,5,1,2,0
"2022-03-01",45,5,1,3,0
"2022-04-01",56,5,2,3,0
"2022-05-01",52,5,2,3,0
"2022-06-01",43,4,1,3,0
"2022-07-01",40,5,1,2,0
"2022-08-01",54,6,2,3,0
"2022-09-01",64,6,2,3,0
"2022-10-01",60,6,2,3,0
"2022-11-01",59,7,2,3,0
"2022-12-01",59,8,2,3,0
"2023-01-01",72,9,2,3,1
"2023-02-01",71,8,2,3,1
"2023-03-01",68,8,2,3,0
"2023-04-01",61,7,2,3,0
"2023-05-01",63,7,2,3,1
"2023-06-01",55,7,2,3,1
"2023-07-01",51,7,2,3,1
"2023-08-01",63,8,2,3,1
"2023-09-01",73,9,2,3,1
"2023-10-01",72,6,2,3,1
"2023-11-01",66,6,2,3,0
"2023-12-01",62,5,2,3,1
"2024-01-01",66,5,2,3,1
"2024-02-01",69,5,2,3,1
"2024-03-01",62,5,2,3,1
"2024-04-01",77,5,3,3,1
"2024-05-01",62,4,2,3,1
"2024-06-01",48,4,2,2,1
"2024-07-01",45,3,1,2,1
"2024-08-01",64,5,2,2,1
"2024-09-01",82,5,3,3,1
"2024-10-01",66,4,2,3,1
"2024-11-01",62,4,2,3,1
"2024-12-01",66,4,2,3,1
"2025-01-01",70,4,2,3,1
"2025-02-01",100,4,4,3,1
"2025-03-01",70,4,3,3,1
"2025-04-01",65,4,3,2,1
"2025-05-01",65,4,3,2,1
"2025-06-01",45,3,2,2,1
"2025-07-01",49,3,2,4,2
"2025-08-01",57,4,2,3,2
"2025-09-01",69,4,3,2,2
"2025-10-01",66,4,3,3,1
"2025-11-01",61,4,3,3,2
"2025-12-01",57,4,4,3,2
"2026-01-01",59,4,4,4,3